EmployeeNumber,JobRole,num_skill_gaps,precision@1,recall@1,mrr@1,precision@3,recall@3,mrr@3,precision@5,recall@5,mrr@5
399,Sales Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
401,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
403,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
404,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
405,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
406,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
407,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
408,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
410,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
411,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
412,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
416,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
417,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
419,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
420,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
421,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
422,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
423,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
424,Human Resources,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
425,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
426,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
428,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
429,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
430,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
431,Healthcare Representative,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
433,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
434,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
436,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
437,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
438,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
439,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
440,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
441,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
442,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
444,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
445,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
446,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
447,Research Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
448,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
449,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
450,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
451,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
452,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
453,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
454,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
455,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
456,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
458,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
460,Manufacturing Director,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
461,Research Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
462,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
463,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
464,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
465,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
466,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
467,Sales Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
468,Research Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
469,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
470,Human Resources,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
471,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
473,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
474,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
475,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
476,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
477,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
478,Sales Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
479,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
481,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
482,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
483,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
484,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
485,Sales Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
486,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
487,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
488,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
491,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
492,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
493,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
494,Sales Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
495,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
496,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
497,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
498,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
499,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
500,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
501,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
502,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
505,Manager,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
507,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
508,Sales Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
510,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
511,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
513,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
514,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
515,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
516,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
517,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
518,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
520,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
521,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
522,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
523,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
524,Manufacturing Director,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
525,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
526,Healthcare Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
527,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
529,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
530,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
531,Manager,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
532,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
533,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
534,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
536,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
538,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
543,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
544,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
546,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
547,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
548,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
549,Manager,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
550,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
551,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
554,Sales Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
555,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
556,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
558,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
560,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
562,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
564,Research Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
565,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
566,Human Resources,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
567,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
568,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
569,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
571,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
573,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
574,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
575,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
577,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
578,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
579,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
580,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
581,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
582,Manager,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
584,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
585,Sales Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
586,Healthcare Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
587,Healthcare Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
590,Human Resources,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
591,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
592,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
593,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
595,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
597,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
599,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
600,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
601,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
602,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
604,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
605,Manufacturing Director,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
606,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
608,Human Resources,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
611,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
612,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
613,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
614,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
615,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
616,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
618,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
620,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
621,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
622,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
623,Manufacturing Director,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
624,Healthcare Representative,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
625,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
626,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
630,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
631,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
632,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
634,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
635,Manufacturing Director,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
638,Research Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
639,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
641,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
643,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
644,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
645,Sales Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
647,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
648,Sales Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
649,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
650,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
652,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
653,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
655,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
656,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
657,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
659,Healthcare Representative,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
661,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
662,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
663,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
664,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
665,Human Resources,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
666,Sales Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
667,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
669,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
671,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
675,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
677,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
679,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
680,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
682,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
683,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
684,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
686,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
689,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
690,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
691,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
692,Healthcare Representative,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
698,Human Resources,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
699,Manufacturing Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
700,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
701,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
702,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
704,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
705,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
707,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
709,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
710,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
712,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
714,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
715,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
716,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
717,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
720,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
721,Healthcare Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
722,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
723,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
724,Healthcare Representative,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
725,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
727,Research Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
728,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
729,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
730,Research Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
731,Manager,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
732,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
733,Manufacturing Director,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
734,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
738,Sales Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
741,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
742,Research Director,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
743,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
744,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
746,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
747,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
749,Sales Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
752,Research Scientist,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
754,Sales Executive,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
757,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
758,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
760,Human Resources,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
762,Healthcare Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
763,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
764,Healthcare Representative,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
766,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
769,Laboratory Technician,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
771,Healthcare Representative,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
772,Laboratory Technician,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
773,Research Scientist,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
775,Manufacturing Director,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
776,Manager,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
780,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
781,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
783,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
784,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
785,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
786,Sales Executive,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
787,Manager,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
789,Sales Executive,5,1.0,0.2,1.0,1.0,0.6,1.0,1.0,1.0,1.0
791,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
792,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
793,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
796,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
797,Research Scientist,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
799,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
800,Sales Executive,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
802,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
803,Manufacturing Director,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
804,Research Scientist,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
805,Sales Representative,4,1.0,0.25,1.0,1.0,0.75,1.0,1.0,1.0,1.0
806,Laboratory Technician,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
807,Healthcare Representative,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
808,Sales Executive,3,1.0,0.333,1.0,1.0,1.0,1.0,1.0,1.0,1.0
809,Manager,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
811,Laboratory Technician,2,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
