occupation_code,skill_name,importance_score
17-2112.03,Monitoring,3.88
17-2121.00,Reading Comprehension,3.88
17-2121.00,Active Listening,3.75
17-2121.00,Writing,3.75
17-2121.00,Speaking,3.75
17-2121.00,Mathematics,3.62
17-2121.00,Science,3.5
17-2121.00,Critical Thinking,4.12
17-2121.00,Active Learning,3.5
17-2121.00,Learning Strategies,2.88
17-2121.00,Monitoring,3.38
17-2131.00,Reading Comprehension,4.0
17-2131.00,Active Listening,4.0
17-2131.00,Writing,4.0
17-2131.00,Speaking,4.0
17-2131.00,Mathematics,4.0
17-2131.00,Science,4.0
17-2131.00,Critical Thinking,4.0
17-2131.00,Active Learning,3.75
17-2131.00,Learning Strategies,3.0
17-2131.00,Monitoring,3.25
17-2141.00,Reading Comprehension,3.88
17-2141.00,Active Listening,3.88
17-2141.00,Writing,3.38
17-2141.00,Speaking,3.38
17-2141.00,Mathematics,3.75
17-2141.00,Science,3.75
17-2141.00,Critical Thinking,3.88
17-2141.00,Active Learning,3.5
17-2141.00,Learning Strategies,2.88
17-2141.00,Monitoring,3.25
17-2141.01,Reading Comprehension,4.0
17-2141.01,Active Listening,3.62
17-2141.01,Writing,3.75
17-2141.01,Speaking,3.75
17-2141.01,Mathematics,3.5
17-2141.01,Science,3.75
17-2141.01,Critical Thinking,4.0
17-2141.01,Active Learning,3.62
17-2141.01,Learning Strategies,3.12
17-2141.01,Monitoring,3.62
17-2141.02,Reading Comprehension,4.0
17-2141.02,Active Listening,3.75
17-2141.02,Writing,3.88
17-2141.02,Speaking,3.88
17-2141.02,Mathematics,3.88
17-2141.02,Science,3.25
17-2141.02,Critical Thinking,4.12
17-2141.02,Active Learning,3.38
17-2141.02,Learning Strategies,2.88
17-2141.02,Monitoring,3.12
17-2151.00,Reading Comprehension,4.0
17-2151.00,Active Listening,3.88
17-2151.00,Writing,4.0
17-2151.00,Speaking,4.0
17-2151.00,Mathematics,3.75
17-2151.00,Science,3.5
17-2151.00,Critical Thinking,4.0
17-2151.00,Active Learning,3.5
17-2151.00,Learning Strategies,3.12
17-2151.00,Monitoring,3.75
17-2161.00,Reading Comprehension,4.0
17-2161.00,Active Listening,4.0
17-2161.00,Writing,4.0
17-2161.00,Speaking,3.75
17-2161.00,Mathematics,4.0
17-2161.00,Science,4.12
17-2161.00,Critical Thinking,4.12
17-2161.00,Active Learning,3.88
17-2161.00,Learning Strategies,3.0
17-2161.00,Monitoring,4.0
17-2171.00,Reading Comprehension,4.0
17-2171.00,Active Listening,3.88
17-2171.00,Writing,3.88
17-2171.00,Speaking,3.88
17-2171.00,Mathematics,3.25
17-2171.00,Science,3.38
17-2171.00,Critical Thinking,4.0
17-2171.00,Active Learning,3.75
17-2171.00,Learning Strategies,3.0
17-2171.00,Monitoring,3.75
17-2199.03,Reading Comprehension,4.12
17-2199.03,Active Listening,4.0
17-2199.03,Writing,4.0
17-2199.03,Speaking,3.88
17-2199.03,Mathematics,3.88
17-2199.03,Science,3.88
17-2199.03,Critical Thinking,4.0
17-2199.03,Active Learning,4.0
17-2199.03,Learning Strategies,2.88
17-2199.03,Monitoring,3.88
17-2199.05,Reading Comprehension,3.75
17-2199.05,Active Listening,3.62
17-2199.05,Writing,3.75
17-2199.05,Speaking,3.5
17-2199.05,Mathematics,3.38
17-2199.05,Science,3.12
17-2199.05,Critical Thinking,3.75
17-2199.05,Active Learning,3.12
17-2199.05,Learning Strategies,3.12
17-2199.05,Monitoring,3.38
17-2199.06,Reading Comprehension,4.0
17-2199.06,Active Listening,4.0
17-2199.06,Writing,3.75
17-2199.06,Speaking,3.62
17-2199.06,Mathematics,3.38
17-2199.06,Science,3.62
17-2199.06,Critical Thinking,4.0
17-2199.06,Active Learning,3.5
17-2199.06,Learning Strategies,3.25
17-2199.06,Monitoring,3.62
17-2199.07,Reading Comprehension,3.88
17-2199.07,Active Listening,3.75
17-2199.07,Writing,3.88
17-2199.07,Speaking,3.62
17-2199.07,Mathematics,3.62
17-2199.07,Science,3.5
17-2199.07,Critical Thinking,4.0
17-2199.07,Active Learning,3.62
17-2199.07,Learning Strategies,3.0
17-2199.07,Monitoring,3.0
17-2199.08,Reading Comprehension,3.88
17-2199.08,Active Listening,3.88
17-2199.08,Writing,3.75
17-2199.08,Speaking,3.25
17-2199.08,Mathematics,3.75
17-2199.08,Science,3.12
17-2199.08,Critical Thinking,4.0
17-2199.08,Active Learning,3.75
17-2199.08,Learning Strategies,3.38
17-2199.08,Monitoring,3.88
17-2199.09,Reading Comprehension,4.0
17-2199.09,Active Listening,3.88
17-2199.09,Writing,3.88
17-2199.09,Speaking,4.0
17-2199.09,Mathematics,3.88
17-2199.09,Science,4.0
17-2199.09,Critical Thinking,4.0
17-2199.09,Active Learning,3.88
17-2199.09,Learning Strategies,3.0
17-2199.09,Monitoring,3.5
17-2199.10,Reading Comprehension,3.75
17-2199.10,Active Listening,3.38
17-2199.10,Writing,3.38
17-2199.10,Speaking,3.38
17-2199.10,Mathematics,3.5
17-2199.10,Science,3.25
17-2199.10,Critical Thinking,4.0
17-2199.10,Active Learning,3.0
17-2199.10,Learning Strategies,2.75
17-2199.10,Monitoring,3.12
17-2199.11,Reading Comprehension,4.0
17-2199.11,Active Listening,3.75
17-2199.11,Writing,3.88
17-2199.11,Speaking,3.88
17-2199.11,Mathematics,3.38
17-2199.11,Science,3.25
17-2199.11,Critical Thinking,4.0
17-2199.11,Active Learning,3.25
17-2199.11,Learning Strategies,2.88
17-2199.11,Monitoring,3.25
17-3011.00,Reading Comprehension,3.75
17-3011.00,Active Listening,3.5
17-3011.00,Writing,3.25
17-3011.00,Speaking,3.25
17-3011.00,Mathematics,3.12
17-3011.00,Science,2.12
17-3011.00,Critical Thinking,3.62
17-3011.00,Active Learning,3.12
17-3011.00,Learning Strategies,2.62
17-3011.00,Monitoring,3.25
17-3012.00,Reading Comprehension,3.38
17-3012.00,Active Listening,3.62
17-3012.00,Writing,3.5
17-3012.00,Speaking,3.25
17-3012.00,Mathematics,2.75
17-3012.00,Science,1.88
17-3012.00,Critical Thinking,3.5
17-3012.00,Active Learning,3.25
17-3012.00,Learning Strategies,2.62
17-3012.00,Monitoring,3.0
17-3013.00,Reading Comprehension,3.25
17-3013.00,Active Listening,3.25
17-3013.00,Writing,3.0
17-3013.00,Speaking,3.12
17-3013.00,Mathematics,3.25
17-3013.00,Science,1.88
17-3013.00,Critical Thinking,3.38
17-3013.00,Active Learning,3.25
17-3013.00,Learning Strategies,2.75
17-3013.00,Monitoring,3.0
17-3021.00,Reading Comprehension,3.75
17-3021.00,Active Listening,3.62
17-3021.00,Writing,3.12
17-3021.00,Speaking,3.62
17-3021.00,Mathematics,3.0
17-3021.00,Science,3.12
17-3021.00,Critical Thinking,3.88
17-3021.00,Active Learning,3.0
17-3021.00,Learning Strategies,2.88
17-3021.00,Monitoring,3.12
17-3022.00,Reading Comprehension,3.75
17-3022.00,Active Listening,3.75
17-3022.00,Writing,3.25
17-3022.00,Speaking,3.38
17-3022.00,Mathematics,3.62
17-3022.00,Science,2.75
17-3022.00,Critical Thinking,3.88
17-3022.00,Active Learning,2.88
17-3022.00,Learning Strategies,2.25
17-3022.00,Monitoring,3.25
17-3023.00,Reading Comprehension,3.88
17-3023.00,Active Listening,3.38
17-3023.00,Writing,3.25
17-3023.00,Speaking,3.38
17-3023.00,Mathematics,2.88
17-3023.00,Science,2.12
17-3023.00,Critical Thinking,3.75
17-3023.00,Active Learning,3.12
17-3023.00,Learning Strategies,2.62
17-3023.00,Monitoring,3.25
17-3024.00,Reading Comprehension,3.25
17-3024.00,Active Listening,3.12
17-3024.00,Writing,3.12
17-3024.00,Speaking,3.12
17-3024.00,Mathematics,2.88
17-3024.00,Science,2.75
17-3024.00,Critical Thinking,3.62
17-3024.00,Active Learning,3.12
17-3024.00,Learning Strategies,2.88
17-3024.00,Monitoring,3.75
17-3024.01,Reading Comprehension,3.88
17-3024.01,Active Listening,3.75
17-3024.01,Writing,3.25
17-3024.01,Speaking,3.25
17-3024.01,Mathematics,3.0
17-3024.01,Science,2.75
17-3024.01,Critical Thinking,3.88
17-3024.01,Active Learning,3.12
17-3024.01,Learning Strategies,3.0
17-3024.01,Monitoring,3.12
17-3025.00,Reading Comprehension,3.88
17-3025.00,Active Listening,3.88
17-3025.00,Writing,3.12
17-3025.00,Speaking,3.38
17-3025.00,Mathematics,3.0
17-3025.00,Science,3.38
17-3025.00,Critical Thinking,3.88
17-3025.00,Active Learning,3.75
17-3025.00,Learning Strategies,3.0
17-3025.00,Monitoring,3.38
17-3026.00,Reading Comprehension,3.88
17-3026.00,Active Listening,3.88
17-3026.00,Writing,3.12
17-3026.00,Speaking,3.12
17-3026.00,Mathematics,3.12
17-3026.00,Science,3.0
17-3026.00,Critical Thinking,3.88
17-3026.00,Active Learning,3.12
17-3026.00,Learning Strategies,2.75
17-3026.00,Monitoring,3.12
17-3026.01,Reading Comprehension,4.12
17-3026.01,Active Listening,3.62
17-3026.01,Writing,3.75
17-3026.01,Speaking,3.38
17-3026.01,Mathematics,3.38
17-3026.01,Science,3.62
17-3026.01,Critical Thinking,4.0
17-3026.01,Active Learning,3.38
17-3026.01,Learning Strategies,3.0
17-3026.01,Monitoring,3.38
17-3027.00,Reading Comprehension,3.75
17-3027.00,Active Listening,3.75
17-3027.00,Writing,3.5
17-3027.00,Speaking,3.62
17-3027.00,Mathematics,3.25
17-3027.00,Science,3.0
17-3027.00,Critical Thinking,3.75
17-3027.00,Active Learning,3.12
17-3027.00,Learning Strategies,2.75
17-3027.00,Monitoring,3.12
17-3027.01,Reading Comprehension,3.62
17-3027.01,Active Listening,3.25
17-3027.01,Writing,3.25
17-3027.01,Speaking,3.5
17-3027.01,Mathematics,3.12
17-3027.01,Science,2.62
17-3027.01,Critical Thinking,3.5
17-3027.01,Active Learning,3.0
17-3027.01,Learning Strategies,2.38
17-3027.01,Monitoring,3.12
17-3029.01,Reading Comprehension,3.88
17-3029.01,Active Listening,3.62
17-3029.01,Writing,3.25
17-3029.01,Speaking,3.12
17-3029.01,Mathematics,3.12
17-3029.01,Science,3.0
17-3029.01,Critical Thinking,3.5
17-3029.01,Active Learning,3.25
17-3029.01,Learning Strategies,3.12
17-3029.01,Monitoring,3.38
17-3029.08,Reading Comprehension,3.5
17-3029.08,Active Listening,3.38
17-3029.08,Writing,3.12
17-3029.08,Speaking,3.12
17-3029.08,Mathematics,2.75
17-3029.08,Science,2.5
17-3029.08,Critical Thinking,3.38
17-3029.08,Active Learning,3.25
17-3029.08,Learning Strategies,2.75
17-3029.08,Monitoring,3.25
17-3031.00,Reading Comprehension,3.62
17-3031.00,Active Listening,3.12
17-3031.00,Writing,2.88
17-3031.00,Speaking,3.0
17-3031.00,Mathematics,3.25
17-3031.00,Science,2.38
17-3031.00,Critical Thinking,3.5
17-3031.00,Active Learning,2.88
17-3031.00,Learning Strategies,2.75
17-3031.00,Monitoring,3.12
19-1011.00,Reading Comprehension,4.12
19-1011.00,Active Listening,3.88
19-1011.00,Writing,4.0
19-1011.00,Speaking,3.88
19-1011.00,Mathematics,3.38
19-1011.00,Science,4.0
19-1011.00,Critical Thinking,4.0
19-1011.00,Active Learning,3.88
19-1011.00,Learning Strategies,3.25
19-1011.00,Monitoring,3.75
19-1012.00,Reading Comprehension,4.0
19-1012.00,Active Listening,3.88
19-1012.00,Writing,3.88
19-1012.00,Speaking,3.88
19-1012.00,Mathematics,3.12
19-1012.00,Science,3.88
19-1012.00,Critical Thinking,4.0
19-1012.00,Active Learning,4.0
19-1012.00,Learning Strategies,3.0
19-1012.00,Monitoring,3.62
19-1013.00,Reading Comprehension,4.0
19-1013.00,Active Listening,3.88
19-1013.00,Writing,3.88
19-1013.00,Speaking,4.0
19-1013.00,Mathematics,3.25
19-1013.00,Science,4.0
19-1013.00,Critical Thinking,4.0
19-1013.00,Active Learning,4.0
19-1013.00,Learning Strategies,3.25
19-1013.00,Monitoring,3.25
19-1021.00,Reading Comprehension,4.38
19-1021.00,Active Listening,4.12
19-1021.00,Writing,4.25
19-1021.00,Speaking,4.12
19-1021.00,Mathematics,3.88
19-1021.00,Science,4.75
19-1021.00,Critical Thinking,4.25
19-1021.00,Active Learning,4.12
19-1021.00,Learning Strategies,4.0
19-1021.00,Monitoring,3.88
19-1022.00,Reading Comprehension,4.12
19-1022.00,Active Listening,3.88
19-1022.00,Writing,4.0
19-1022.00,Speaking,3.88
19-1022.00,Mathematics,3.12
19-1022.00,Science,4.62
19-1022.00,Critical Thinking,4.0
19-1022.00,Active Learning,3.88
19-1022.00,Learning Strategies,3.62
19-1022.00,Monitoring,3.62
19-1023.00,Reading Comprehension,4.0
19-1023.00,Active Listening,4.0
19-1023.00,Writing,4.0
19-1023.00,Speaking,4.0
19-1023.00,Mathematics,3.12
19-1023.00,Science,4.0
19-1023.00,Critical Thinking,3.88
19-1023.00,Active Learning,3.88
19-1023.00,Learning Strategies,3.12
19-1023.00,Monitoring,3.25
19-1029.01,Reading Comprehension,4.38
19-1029.01,Active Listening,4.0
19-1029.01,Writing,4.0
19-1029.01,Speaking,4.0
19-1029.01,Mathematics,3.88
19-1029.01,Science,4.0
19-1029.01,Critical Thinking,4.0
19-1029.01,Active Learning,3.88
19-1029.01,Learning Strategies,3.0
19-1029.01,Monitoring,3.38
19-1029.02,Reading Comprehension,4.38
19-1029.02,Active Listening,4.0
19-1029.02,Writing,4.25
19-1029.02,Speaking,4.0
19-1029.02,Mathematics,3.75
19-1029.02,Science,4.75
19-1029.02,Critical Thinking,4.12
19-1029.02,Active Learning,3.88
19-1029.02,Learning Strategies,3.88
19-1029.02,Monitoring,3.75
19-1029.03,Reading Comprehension,4.25
19-1029.03,Active Listening,4.0
19-1029.03,Writing,4.0
19-1029.03,Speaking,4.0
19-1029.03,Mathematics,3.88
19-1029.03,Science,4.12
19-1029.03,Critical Thinking,4.0
19-1029.03,Active Learning,4.0
19-1029.03,Learning Strategies,3.88
19-1029.03,Monitoring,3.75
19-1029.04,Reading Comprehension,4.12
19-1029.04,Active Listening,4.0
19-1029.04,Writing,4.12
19-1029.04,Speaking,4.0
19-1029.04,Mathematics,3.88
19-1029.04,Science,4.62
19-1029.04,Critical Thinking,4.0
19-1029.04,Active Learning,3.88
19-1029.04,Learning Strategies,3.12
19-1029.04,Monitoring,3.0
19-1031.00,Reading Comprehension,3.88
19-1031.00,Active Listening,3.88
19-1031.00,Writing,3.5
19-1031.00,Speaking,3.62
19-1031.00,Mathematics,3.12
19-1031.00,Science,3.5
19-1031.00,Critical Thinking,3.5
19-1031.00,Active Learning,3.25
19-1031.00,Learning Strategies,2.88
19-1031.00,Monitoring,3.25
19-1031.02,Reading Comprehension,4.0
19-1031.02,Active Listening,4.0
19-1031.02,Writing,3.38
19-1031.02,Speaking,4.0
19-1031.02,Mathematics,3.0
19-1031.02,Science,3.12
19-1031.02,Critical Thinking,3.88
19-1031.02,Active Learning,3.25
19-1031.02,Learning Strategies,2.88
19-1031.02,Monitoring,3.88
19-1031.03,Reading Comprehension,3.75
19-1031.03,Active Listening,3.88
19-1031.03,Writing,3.88
19-1031.03,Speaking,4.0
19-1031.03,Mathematics,2.0
19-1031.03,Science,2.12
19-1031.03,Critical Thinking,3.75
19-1031.03,Active Learning,3.12
19-1031.03,Learning Strategies,3.0
19-1031.03,Monitoring,3.25
19-1032.00,Reading Comprehension,4.0
19-1032.00,Active Listening,3.88
19-1032.00,Writing,3.75
19-1032.00,Speaking,4.0
19-1032.00,Mathematics,3.0
19-1032.00,Science,3.0
19-1032.00,Critical Thinking,4.0
19-1032.00,Active Learning,3.25
19-1032.00,Learning Strategies,3.0
19-1032.00,Monitoring,4.0
19-1041.00,Reading Comprehension,4.25
19-1041.00,Active Listening,4.12
19-1041.00,Writing,4.12
19-1041.00,Speaking,4.12
19-1041.00,Mathematics,3.75
19-1041.00,Science,4.12
19-1041.00,Critical Thinking,4.25
19-1041.00,Active Learning,4.0
19-1041.00,Learning Strategies,3.5
19-1041.00,Monitoring,3.62
19-1042.00,Reading Comprehension,4.0
19-1042.00,Active Listening,4.0
19-1042.00,Writing,4.25
19-1042.00,Speaking,4.12
19-1042.00,Mathematics,3.62
19-1042.00,Science,4.12
19-1042.00,Critical Thinking,4.0
19-1042.00,Active Learning,4.12
19-1042.00,Learning Strategies,3.38
19-1042.00,Monitoring,3.62
19-2011.00,Reading Comprehension,4.25
19-2011.00,Active Listening,4.0
19-2011.00,Writing,4.12
19-2011.00,Speaking,4.0
19-2011.00,Mathematics,4.12
19-2011.00,Science,4.25
19-2011.00,Critical Thinking,4.12
19-2011.00,Active Learning,4.0
19-2011.00,Learning Strategies,3.75
19-2011.00,Monitoring,3.38
19-2012.00,Reading Comprehension,4.5
19-2012.00,Active Listening,4.12
19-2012.00,Writing,4.38
19-2012.00,Speaking,4.5
19-2012.00,Mathematics,4.5
19-2012.00,Science,4.88
19-2012.00,Critical Thinking,4.62
19-2012.00,Active Learning,4.5
19-2012.00,Learning Strategies,4.0
19-2012.00,Monitoring,3.75
19-2021.00,Reading Comprehension,4.12
19-2021.00,Active Listening,4.0
19-2021.00,Writing,3.88
19-2021.00,Speaking,4.0
19-2021.00,Mathematics,3.38
19-2021.00,Science,4.0
19-2021.00,Critical Thinking,4.0
19-2021.00,Active Learning,4.0
19-2021.00,Learning Strategies,3.12
19-2021.00,Monitoring,3.12
19-2031.00,Reading Comprehension,4.0
19-2031.00,Active Listening,3.75
19-2031.00,Writing,3.75
19-2031.00,Speaking,3.88
19-2031.00,Mathematics,3.75
19-2031.00,Science,4.12
19-2031.00,Critical Thinking,4.0
19-2031.00,Active Learning,3.62
19-2031.00,Learning Strategies,3.0
19-2031.00,Monitoring,3.5
19-2032.00,Reading Comprehension,4.0
19-2032.00,Active Listening,4.0
19-2032.00,Writing,3.88
19-2032.00,Speaking,3.75
19-2032.00,Mathematics,3.5
19-2032.00,Science,4.0
19-2032.00,Critical Thinking,4.0
19-2032.00,Active Learning,3.75
19-2032.00,Learning Strategies,3.0
19-2032.00,Monitoring,3.12
19-2041.00,Reading Comprehension,4.0
19-2041.00,Active Listening,4.0
19-2041.00,Writing,4.0
19-2041.00,Speaking,4.0
19-2041.00,Mathematics,3.25
19-2041.00,Science,4.0
19-2041.00,Critical Thinking,3.88
19-2041.00,Active Learning,3.75
19-2041.00,Learning Strategies,3.25
19-2041.00,Monitoring,3.62
19-2041.01,Reading Comprehension,4.25
19-2041.01,Active Listening,4.0
19-2041.01,Writing,3.88
19-2041.01,Speaking,3.88
19-2041.01,Mathematics,3.0
19-2041.01,Science,2.62
19-2041.01,Critical Thinking,4.0
19-2041.01,Active Learning,3.75
19-2041.01,Learning Strategies,3.0
19-2041.01,Monitoring,3.12
19-2041.02,Reading Comprehension,3.88
19-2041.02,Active Listening,3.88
19-2041.02,Writing,3.88
19-2041.02,Speaking,3.88
19-2041.02,Mathematics,3.25
19-2041.02,Science,3.5
19-2041.02,Critical Thinking,4.0
19-2041.02,Active Learning,3.5
19-2041.02,Learning Strategies,3.0
19-2041.02,Monitoring,3.75
19-2041.03,Reading Comprehension,4.12
19-2041.03,Active Listening,4.0
19-2041.03,Writing,4.0
19-2041.03,Speaking,4.0
19-2041.03,Mathematics,3.38
19-2041.03,Science,3.62
19-2041.03,Critical Thinking,3.88
19-2041.03,Active Learning,3.62
19-2041.03,Learning Strategies,3.0
19-2041.03,Monitoring,3.12
19-2042.00,Reading Comprehension,4.25
19-2042.00,Active Listening,3.88
19-2042.00,Writing,4.0
19-2042.00,Speaking,4.0
19-2042.00,Mathematics,3.5
19-2042.00,Science,4.25
19-2042.00,Critical Thinking,4.0
19-2042.00,Active Learning,3.38
19-2042.00,Learning Strategies,3.12
19-2042.00,Monitoring,3.0
19-2043.00,Reading Comprehension,3.88
19-2043.00,Active Listening,3.88
19-2043.00,Writing,3.75
19-2043.00,Speaking,3.75
19-2043.00,Mathematics,3.88
19-2043.00,Science,3.88
19-2043.00,Critical Thinking,4.12
19-2043.00,Active Learning,3.75
19-2043.00,Learning Strategies,3.0
19-2043.00,Monitoring,3.25
19-2099.01,Reading Comprehension,4.0
19-2099.01,Active Listening,3.88
19-2099.01,Writing,3.88
19-2099.01,Speaking,3.88
19-2099.01,Mathematics,3.75
19-2099.01,Science,3.88
19-2099.01,Critical Thinking,4.0
19-2099.01,Active Learning,3.38
19-2099.01,Learning Strategies,3.12
19-2099.01,Monitoring,3.38
19-3011.00,Reading Comprehension,4.12
19-3011.00,Active Listening,4.0
19-3011.00,Writing,4.0
19-3011.00,Speaking,4.0
19-3011.00,Mathematics,4.12
19-3011.00,Science,1.88
19-3011.00,Critical Thinking,4.12
19-3011.00,Active Learning,3.75
19-3011.00,Learning Strategies,3.12
19-3011.00,Monitoring,3.12
19-3011.01,Reading Comprehension,4.0
19-3011.01,Active Listening,4.0
19-3011.01,Writing,4.12
19-3011.01,Speaking,3.5
19-3011.01,Mathematics,4.0
19-3011.01,Science,2.38
19-3011.01,Critical Thinking,4.0
19-3011.01,Active Learning,3.88
19-3011.01,Learning Strategies,3.25
19-3011.01,Monitoring,3.5
19-3022.00,Reading Comprehension,4.25
19-3022.00,Active Listening,4.25
19-3022.00,Writing,4.25
19-3022.00,Speaking,4.25
19-3022.00,Mathematics,4.0
19-3022.00,Science,2.88
19-3022.00,Critical Thinking,4.25
19-3022.00,Active Learning,3.88
19-3022.00,Learning Strategies,3.25
19-3022.00,Monitoring,3.12
19-3032.00,Reading Comprehension,4.38
19-3032.00,Active Listening,4.38
19-3032.00,Writing,4.25
19-3032.00,Speaking,4.12
19-3032.00,Mathematics,3.5
19-3032.00,Science,3.75
19-3032.00,Critical Thinking,4.12
19-3032.00,Active Learning,3.88
19-3032.00,Learning Strategies,3.62
19-3032.00,Monitoring,3.88
19-3033.00,Reading Comprehension,4.75
19-3033.00,Active Listening,4.25
19-3033.00,Writing,4.25
19-3033.00,Speaking,4.12
19-3033.00,Mathematics,2.25
19-3033.00,Science,2.38
19-3033.00,Critical Thinking,4.25
19-3033.00,Active Learning,3.88
19-3033.00,Learning Strategies,3.62
19-3033.00,Monitoring,3.75
19-3034.00,Reading Comprehension,4.62
19-3034.00,Active Listening,4.5
19-3034.00,Writing,4.12
19-3034.00,Speaking,4.62
19-3034.00,Mathematics,2.88
19-3034.00,Science,2.5
19-3034.00,Critical Thinking,4.12
19-3034.00,Active Learning,3.88
19-3034.00,Learning Strategies,3.88
19-3034.00,Monitoring,4.0
19-3039.02,Reading Comprehension,4.5
19-3039.02,Active Listening,4.5
19-3039.02,Writing,4.38
19-3039.02,Speaking,4.25
19-3039.02,Mathematics,3.0
19-3039.02,Science,3.62
19-3039.02,Critical Thinking,4.25
19-3039.02,Active Learning,3.88
19-3039.02,Learning Strategies,3.5
19-3039.02,Monitoring,3.62
19-3039.03,Reading Comprehension,4.12
19-3039.03,Active Listening,4.38
19-3039.03,Writing,3.88
19-3039.03,Speaking,4.0
19-3039.03,Mathematics,2.62
19-3039.03,Science,2.62
19-3039.03,Critical Thinking,4.25
19-3039.03,Active Learning,3.75
19-3039.03,Learning Strategies,3.5
19-3039.03,Monitoring,3.62
19-3041.00,Reading Comprehension,4.0
19-3041.00,Active Listening,4.12
19-3041.00,Writing,4.0
19-3041.00,Speaking,4.12
19-3041.00,Mathematics,2.88
19-3041.00,Science,3.12
19-3041.00,Critical Thinking,4.0
19-3041.00,Active Learning,4.0
19-3041.00,Learning Strategies,3.88
19-3041.00,Monitoring,3.5
19-3051.00,Reading Comprehension,4.0
19-3051.00,Active Listening,4.12
19-3051.00,Writing,3.88
19-3051.00,Speaking,4.12
19-3051.00,Mathematics,3.0
19-3051.00,Science,2.62
19-3051.00,Critical Thinking,4.0
19-3051.00,Active Learning,3.25
19-3051.00,Learning Strategies,3.0
19-3051.00,Monitoring,3.0
19-3091.00,Reading Comprehension,4.12
19-3091.00,Active Listening,4.12
19-3091.00,Writing,4.25
19-3091.00,Speaking,4.25
19-3091.00,Mathematics,2.75
19-3091.00,Science,3.0
19-3091.00,Critical Thinking,4.12
19-3091.00,Active Learning,3.88
19-3091.00,Learning Strategies,3.38
19-3091.00,Monitoring,3.5
19-3092.00,Reading Comprehension,4.12
19-3092.00,Active Listening,3.75
19-3092.00,Writing,4.12
19-3092.00,Speaking,4.0
19-3092.00,Mathematics,3.0
19-3092.00,Science,3.38
19-3092.00,Critical Thinking,4.0
19-3092.00,Active Learning,3.62
19-3092.00,Learning Strategies,3.12
19-3092.00,Monitoring,3.0
19-3093.00,Reading Comprehension,4.75
19-3093.00,Active Listening,4.0
19-3093.00,Writing,4.12
19-3093.00,Speaking,4.0
19-3093.00,Mathematics,2.0
19-3093.00,Science,2.62
19-3093.00,Critical Thinking,4.12
19-3093.00,Active Learning,4.0
19-3093.00,Learning Strategies,3.25
19-3093.00,Monitoring,3.0
19-3094.00,Reading Comprehension,4.25
19-3094.00,Active Listening,4.12
19-3094.00,Writing,4.0
19-3094.00,Speaking,4.12
19-3094.00,Mathematics,3.0
19-3094.00,Science,2.62
19-3094.00,Critical Thinking,4.0
19-3094.00,Active Learning,4.12
19-3094.00,Learning Strategies,3.5
19-3094.00,Monitoring,2.88
19-3099.01,Reading Comprehension,4.0
19-3099.01,Active Listening,4.0
19-3099.01,Writing,4.0
19-3099.01,Speaking,4.0
19-3099.01,Mathematics,3.38
19-3099.01,Science,2.38
19-3099.01,Critical Thinking,4.0
19-3099.01,Active Learning,3.75
19-3099.01,Learning Strategies,3.0
19-3099.01,Monitoring,3.12
19-4012.00,Reading Comprehension,3.38
19-4012.00,Active Listening,3.25
19-4012.00,Writing,3.12
19-4012.00,Speaking,3.0
19-4012.00,Mathematics,2.88
19-4012.00,Science,2.75
19-4012.00,Critical Thinking,3.25
19-4012.00,Active Learning,3.12
19-4012.00,Learning Strategies,2.88
19-4012.00,Monitoring,3.12
19-4012.01,Reading Comprehension,3.88
19-4012.01,Active Listening,3.75
19-4012.01,Writing,3.5
19-4012.01,Speaking,3.75
19-4012.01,Mathematics,3.25
19-4012.01,Science,2.88
19-4012.01,Critical Thinking,3.75
19-4012.01,Active Learning,3.38
19-4012.01,Learning Strategies,3.0
19-4012.01,Monitoring,3.25
19-4013.00,Reading Comprehension,3.75
19-4013.00,Active Listening,3.5
19-4013.00,Writing,3.5
19-4013.00,Speaking,3.5
19-4013.00,Mathematics,2.75
19-4013.00,Science,3.25
19-4013.00,Critical Thinking,3.25
19-4013.00,Active Learning,3.0
19-4013.00,Learning Strategies,2.88
19-4013.00,Monitoring,3.12
19-4021.00,Reading Comprehension,4.0
19-4021.00,Active Listening,3.88
19-4021.00,Writing,3.5
19-4021.00,Speaking,3.38
19-4021.00,Mathematics,3.0
19-4021.00,Science,3.75
19-4021.00,Critical Thinking,3.75
19-4021.00,Active Learning,3.5
19-4021.00,Learning Strategies,2.88
19-4021.00,Monitoring,3.38
19-4031.00,Reading Comprehension,4.0
19-4031.00,Active Listening,3.88
19-4031.00,Writing,3.88
19-4031.00,Speaking,3.38
19-4031.00,Mathematics,3.0
19-4031.00,Science,4.12
19-4031.00,Critical Thinking,4.0
19-4031.00,Active Learning,3.38
19-4031.00,Learning Strategies,3.12
19-4031.00,Monitoring,3.88
19-4042.00,Reading Comprehension,4.0
19-4042.00,Active Listening,3.88
19-4042.00,Writing,3.88
19-4042.00,Speaking,3.88
19-4042.00,Mathematics,3.12
19-4042.00,Science,3.38
19-4042.00,Critical Thinking,3.75
19-4042.00,Active Learning,3.12
19-4042.00,Learning Strategies,3.0
19-4042.00,Monitoring,3.38
19-4043.00,Reading Comprehension,3.75
19-4043.00,Active Listening,3.12
19-4043.00,Writing,3.25
19-4043.00,Speaking,3.0
19-4043.00,Mathematics,2.75
19-4043.00,Science,2.62
