EmployeeNumber,JobRole,occupation_title,required_count,has_count,gap_count,skill_gap
391,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Excel, Microsoft Office software, Reading Comprehension"
392,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Critical Thinking, Microsoft Outlook, Monitoring"
393,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Active Learning, Salesforce software, Speaking"
394,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Microsoft Office software"
395,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft PowerPoint, Reading Comprehension, Science"
396,Research Director,Natural Sciences Managers,9,6,3,"Active Listening, Critical Thinking, Science"
397,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Office software, Reading Comprehension, Science"
399,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Active Listening, Salesforce software"
401,Sales Executive,Sales Managers,10,8,2,"Critical Thinking, Monitoring"
403,Research Scientist,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Office software, Monitoring, Reading Comprehension"
404,Sales Executive,Sales Managers,10,6,4,"Active Listening, Monitoring, Reading Comprehension, Speaking"
405,Laboratory Technician,Chemical Technicians,9,8,1,Critical Thinking
406,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Critical Thinking, Microsoft Excel, Microsoft PowerPoint"
407,Laboratory Technician,Chemical Technicians,9,5,4,"Microsoft Excel, Reading Comprehension, Science, Writing"
408,Manufacturing Director,Industrial Production Managers,10,7,3,"Active Listening, Monitoring, Reading Comprehension"
410,Manager,General and Operations Managers,9,6,3,"Active Listening, Reading Comprehension, Speaking"
411,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Active Listening, Critical Thinking, Reading Comprehension, Writing"
412,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Active Learning, Critical Thinking"
416,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Microsoft Excel, Microsoft Office software, Speaking"
417,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Microsoft Outlook
419,Laboratory Technician,Chemical Technicians,9,8,1,Science
420,Sales Executive,Sales Managers,10,8,2,"Active Listening, Critical Thinking"
421,Research Director,Natural Sciences Managers,9,5,4,"Microsoft Office software, Microsoft PowerPoint, Monitoring, Science"
422,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Active Listening, Microsoft Excel, Writing"
423,Research Scientist,Natural Sciences Managers,9,7,2,"Critical Thinking, Science"
424,Human Resources,Human Resources Specialists,10,8,2,"Active Listening, Writing"
425,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Monitoring, Reading Comprehension, Writing"
426,Research Scientist,Natural Sciences Managers,9,6,3,"Active Listening, Monitoring, Writing"
428,Manager,General and Operations Managers,9,7,2,"Active Listening, Critical Thinking"
429,Manager,General and Operations Managers,9,6,3,"Active Learning, Active Listening, Reading Comprehension"
430,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Critical Thinking"
431,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,5,5,"Active Learning, Active Listening, Microsoft Excel, Reading Comprehension, Speaking"
433,Research Scientist,Natural Sciences Managers,9,6,3,"Critical Thinking, Microsoft Excel, Monitoring"
434,Research Scientist,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Excel, Microsoft PowerPoint, Writing"
436,Sales Executive,Sales Managers,10,6,4,"Active Listening, Microsoft Office software, Microsoft Outlook, Reading Comprehension"
437,Sales Executive,Sales Managers,10,6,4,"Active Learning, Active Listening, Microsoft Excel, Microsoft Outlook"
438,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Speaking"
439,Research Scientist,Natural Sciences Managers,9,8,1,Science
440,Research Scientist,Natural Sciences Managers,9,8,1,Critical Thinking
441,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Office software, Microsoft PowerPoint, Writing"
442,Manufacturing Director,Industrial Production Managers,10,7,3,"Active Listening, Microsoft Excel, Microsoft Office software"
444,Manager,General and Operations Managers,9,7,2,"Monitoring, Reading Comprehension"
445,Sales Executive,Sales Managers,10,7,3,"Microsoft Excel, Microsoft Outlook, Monitoring"
446,Sales Executive,Sales Managers,10,8,2,"Active Listening, Monitoring"
447,Research Director,Natural Sciences Managers,9,7,2,"Critical Thinking, Monitoring"
448,Laboratory Technician,Chemical Technicians,9,5,4,"Critical Thinking, Microsoft Office software, Microsoft Outlook, Reading Comprehension"
449,Sales Executive,Sales Managers,10,9,1,Microsoft PowerPoint
450,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft PowerPoint, Monitoring, Writing"
451,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Active Learning, Reading Comprehension, Writing"
452,Research Scientist,Natural Sciences Managers,9,8,1,Writing
453,Sales Executive,Sales Managers,10,6,4,"Microsoft Office software, Microsoft PowerPoint, Reading Comprehension, Speaking"
454,Laboratory Technician,Chemical Technicians,9,5,4,"Microsoft Excel, Microsoft Outlook, Science, Writing"
455,Laboratory Technician,Chemical Technicians,9,6,3,"Microsoft Excel, Monitoring, Reading Comprehension"
456,Sales Executive,Sales Managers,10,7,3,"Active Learning, Monitoring, Reading Comprehension"
458,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Excel, Monitoring"
460,Manufacturing Director,Industrial Production Managers,10,5,5,"Critical Thinking, Microsoft PowerPoint, Monitoring, Reading Comprehension, Speaking"
461,Research Director,Natural Sciences Managers,9,8,1,Monitoring
462,Manufacturing Director,Industrial Production Managers,10,9,1,Monitoring
463,Sales Executive,Sales Managers,10,9,1,Reading Comprehension
464,Manufacturing Director,Industrial Production Managers,10,7,3,"Active Listening, Microsoft PowerPoint, Speaking"
465,Research Scientist,Natural Sciences Managers,9,8,1,Microsoft Office software
466,Manufacturing Director,Industrial Production Managers,10,6,4,"Learning Strategies, Microsoft Excel, Reading Comprehension, Speaking"
467,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,6,3,"Active Listening, Microsoft Office software, Reading Comprehension"
468,Research Director,Natural Sciences Managers,9,7,2,"Monitoring, Writing"
469,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Office software, Microsoft Outlook"
470,Human Resources,Human Resources Specialists,10,7,3,"Microsoft Excel, Microsoft Office software, Writing"
471,Laboratory Technician,Chemical Technicians,9,6,3,"Critical Thinking, Microsoft Office software, Writing"
473,Manager,General and Operations Managers,9,7,2,"Critical Thinking, Microsoft Excel"
474,Research Scientist,Natural Sciences Managers,9,7,2,"Active Listening, Microsoft Excel"
475,Sales Executive,Sales Managers,10,5,5,"Active Learning, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint"
476,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Microsoft Excel, Microsoft PowerPoint, Reading Comprehension"
477,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Active Listening, Microsoft Office software"
478,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,6,3,"Active Learning, Speaking, Writing"
479,Sales Executive,Sales Managers,10,6,4,"Active Learning, Active Listening, Microsoft Office software, Microsoft Outlook"
481,Sales Executive,Sales Managers,10,8,2,"Reading Comprehension, Speaking"
482,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Active Listening, Reading Comprehension"
483,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Microsoft Office software, Reading Comprehension, Science"
484,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Active Listening, Microsoft Excel, Salesforce software, Speaking"
485,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,6,3,"Microsoft Excel, Reading Comprehension, Salesforce software"
486,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Office software, Microsoft Outlook"
487,Manufacturing Director,Industrial Production Managers,10,7,3,"Learning Strategies, Monitoring, Speaking"
488,Sales Executive,Sales Managers,10,5,5,"Active Learning, Critical Thinking, Microsoft Excel, Microsoft PowerPoint, Reading Comprehension"
491,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Microsoft Office software, Salesforce software"
492,Sales Executive,Sales Managers,10,7,3,"Active Learning, Active Listening, Speaking"
493,Research Scientist,Natural Sciences Managers,9,8,1,Microsoft Excel
494,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,8,1,Speaking
495,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Office software, Reading Comprehension"
496,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Microsoft Outlook
497,Laboratory Technician,Chemical Technicians,9,6,3,"Critical Thinking, Microsoft Outlook, Reading Comprehension"
498,Sales Executive,Sales Managers,10,8,2,"Active Learning, Critical Thinking"
499,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Salesforce software
500,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Office software, Microsoft Outlook"
501,Research Scientist,Natural Sciences Managers,9,8,1,Monitoring
502,Sales Executive,Sales Managers,10,6,4,"Microsoft Outlook, Microsoft PowerPoint, Monitoring, Speaking"
505,Manager,General and Operations Managers,9,8,1,Active Learning
507,Sales Executive,Sales Managers,10,6,4,"Active Learning, Critical Thinking, Microsoft Office software, Monitoring"
508,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,8,1,Microsoft Office software
510,Research Scientist,Natural Sciences Managers,9,7,2,"Active Listening, Science"
511,Research Scientist,Natural Sciences Managers,9,8,1,Science
513,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Excel, Speaking"
514,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Excel, Writing"
515,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Critical Thinking"
516,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Critical Thinking, Microsoft PowerPoint, Monitoring"
517,Laboratory Technician,Chemical Technicians,9,7,2,"Monitoring, Science"
518,Manufacturing Director,Industrial Production Managers,10,6,4,"Active Listening, Microsoft Excel, Monitoring, Speaking"
520,Research Director,Natural Sciences Managers,9,5,4,"Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Monitoring"
521,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Excel, Microsoft Office software"
522,Research Director,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Excel, Monitoring, Writing"
523,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Critical Thinking, Microsoft Office software, Microsoft Outlook"
524,Manufacturing Director,Industrial Production Managers,10,5,5,"Active Listening, Microsoft Excel, Microsoft Office software, Monitoring, Speaking"
525,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Microsoft Outlook"
526,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Critical Thinking, Reading Comprehension, Salesforce software, Writing"
527,Sales Executive,Sales Managers,10,7,3,"Microsoft Outlook, Monitoring, Speaking"
529,Research Scientist,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Excel, Monitoring, Reading Comprehension"
530,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Outlook, Monitoring"
531,Manager,General and Operations Managers,9,8,1,Microsoft Excel
532,Sales Executive,Sales Managers,10,6,4,"Active Learning, Active Listening, Critical Thinking, Microsoft PowerPoint"
533,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Outlook, Speaking"
534,Sales Executive,Sales Managers,10,7,3,"Active Listening, Critical Thinking, Microsoft PowerPoint"
536,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Microsoft Excel, Microsoft Office software, Writing"
538,Laboratory Technician,Chemical Technicians,9,6,3,"Critical Thinking, Microsoft Excel, Microsoft Office software"
543,Manufacturing Director,Industrial Production Managers,10,7,3,"Critical Thinking, Learning Strategies, Monitoring"
544,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft PowerPoint, Reading Comprehension, Writing"
546,Manager,General and Operations Managers,9,7,2,"Microsoft Office software, Speaking"
547,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Reading Comprehension, Science, Writing"
548,Manufacturing Director,Industrial Production Managers,10,6,4,"Active Listening, Microsoft Excel, Microsoft Office software, Monitoring"
549,Manager,General and Operations Managers,9,5,4,"Active Learning, Microsoft Excel, Microsoft PowerPoint, Reading Comprehension"
550,Manufacturing Director,Industrial Production Managers,10,6,4,"Active Listening, Critical Thinking, Monitoring, Speaking"
551,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Microsoft Office software
554,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,8,1,Writing
555,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Active Listening, Microsoft Excel, Reading Comprehension, Writing"
556,Laboratory Technician,Chemical Technicians,9,7,2,"Critical Thinking, Reading Comprehension"
558,Manager,General and Operations Managers,9,7,2,"Active Learning, Reading Comprehension"
560,Research Scientist,Natural Sciences Managers,9,6,3,"Microsoft Excel, Microsoft PowerPoint, Monitoring"
562,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Excel, Microsoft Outlook"
564,Research Director,Natural Sciences Managers,9,7,2,"Reading Comprehension, Science"
565,Research Scientist,Natural Sciences Managers,9,6,3,"Critical Thinking, Science, Writing"
566,Human Resources,Human Resources Specialists,10,9,1,Microsoft Office software
567,Sales Executive,Sales Managers,10,8,2,"Microsoft Outlook, Speaking"
568,Manager,General and Operations Managers,9,7,2,"Active Learning, Reading Comprehension"
569,Manager,General and Operations Managers,9,7,2,"Active Learning, Active Listening"
571,Laboratory Technician,Chemical Technicians,9,7,2,"Reading Comprehension, Science"
573,Sales Executive,Sales Managers,10,6,4,"Critical Thinking, Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension"
574,Manufacturing Director,Industrial Production Managers,10,7,3,"Learning Strategies, Microsoft Excel, Monitoring"
575,Research Director,Natural Sciences Managers,9,5,4,"Microsoft Excel, Microsoft Office software, Reading Comprehension, Science"
577,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Excel, Writing"
578,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Reading Comprehension, Science"
579,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Critical Thinking, Microsoft Office software, Monitoring"
580,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Critical Thinking, Microsoft PowerPoint, Reading Comprehension"
581,Manufacturing Director,Industrial Production Managers,10,7,3,"Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint"
582,Manager,General and Operations Managers,9,5,4,"Active Listening, Microsoft Excel, Microsoft Office software, Monitoring"
584,Laboratory Technician,Chemical Technicians,9,8,1,Science
585,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,6,3,"Active Listening, Microsoft Excel, Salesforce software"
586,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Active Listening, Critical Thinking, Microsoft Outlook, Salesforce software"
587,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Active Listening, Microsoft Outlook, Reading Comprehension, Writing"
590,Human Resources,Human Resources Specialists,10,8,2,"Active Learning, Microsoft Office software"
591,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Science, Writing"
592,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint"
593,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Microsoft Outlook"
595,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Office software, Monitoring"
597,Manager,General and Operations Managers,9,7,2,"Active Listening, Speaking"
599,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Microsoft Outlook"
600,Sales Executive,Sales Managers,10,6,4,"Active Listening, Microsoft Office software, Monitoring, Reading Comprehension"
601,Manufacturing Director,Industrial Production Managers,10,8,2,"Critical Thinking, Learning Strategies"
602,Laboratory Technician,Chemical Technicians,9,5,4,"Critical Thinking, Monitoring, Reading Comprehension, Science"
604,Sales Executive,Sales Managers,10,6,4,"Active Learning, Microsoft PowerPoint, Monitoring, Reading Comprehension"
605,Manufacturing Director,Industrial Production Managers,10,5,5,"Active Listening, Critical Thinking, Monitoring, Reading Comprehension, Speaking"
606,Sales Executive,Sales Managers,10,8,2,"Active Learning, Microsoft Outlook"
608,Human Resources,Human Resources Specialists,10,7,3,"Active Listening, Speaking, Writing"
611,Manufacturing Director,Industrial Production Managers,10,8,2,"Microsoft Office software, Microsoft PowerPoint"
612,Research Director,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Office software, Monitoring, Science"
613,Manager,General and Operations Managers,9,7,2,"Active Listening, Speaking"
614,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Active Listening, Microsoft Office software, Reading Comprehension, Writing"
615,Sales Executive,Sales Managers,10,9,1,Microsoft Office software
616,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Critical Thinking, Salesforce software, Speaking"
618,Sales Executive,Sales Managers,10,7,3,"Critical Thinking, Microsoft Excel, Microsoft Outlook"
620,Sales Executive,Sales Managers,10,9,1,Microsoft Outlook
621,Sales Executive,Sales Managers,10,7,3,"Active Listening, Microsoft Outlook, Microsoft PowerPoint"
622,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Monitoring, Reading Comprehension, Writing"
623,Manufacturing Director,Industrial Production Managers,10,5,5,"Critical Thinking, Microsoft Office software, Monitoring, Reading Comprehension, Speaking"
624,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,5,5,"Active Listening, Critical Thinking, Microsoft Excel, Reading Comprehension, Salesforce software"
625,Manager,General and Operations Managers,9,6,3,"Active Learning, Microsoft Excel, Monitoring"
626,Sales Executive,Sales Managers,10,7,3,"Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint"
630,Research Scientist,Natural Sciences Managers,9,7,2,"Active Listening, Monitoring"
631,Sales Executive,Sales Managers,10,9,1,Microsoft Outlook
632,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Active Learning, Microsoft Excel, Salesforce software, Speaking"
634,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Writing
635,Manufacturing Director,Industrial Production Managers,10,9,1,Monitoring
638,Research Director,Natural Sciences Managers,9,6,3,"Active Listening, Microsoft Excel, Science"
639,Research Scientist,Natural Sciences Managers,9,8,1,Microsoft Excel
641,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Monitoring, Reading Comprehension, Speaking"
643,Laboratory Technician,Chemical Technicians,9,5,4,"Critical Thinking, Microsoft Excel, Monitoring, Reading Comprehension"
644,Manager,General and Operations Managers,9,7,2,"Microsoft PowerPoint, Speaking"
645,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Critical Thinking, Microsoft Office software"
647,Laboratory Technician,Chemical Technicians,9,7,2,"Critical Thinking, Microsoft Outlook"
648,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Microsoft Office software, Reading Comprehension"
649,Research Scientist,Natural Sciences Managers,9,7,2,"Active Listening, Microsoft Excel"
650,Sales Executive,Sales Managers,10,7,3,"Active Listening, Microsoft Excel, Microsoft PowerPoint"
652,Laboratory Technician,Chemical Technicians,9,7,2,"Active Listening, Writing"
653,Sales Executive,Sales Managers,10,7,3,"Microsoft Excel, Microsoft Outlook, Reading Comprehension"
655,Research Scientist,Natural Sciences Managers,9,6,3,"Critical Thinking, Reading Comprehension, Writing"
656,Sales Executive,Sales Managers,10,6,4,"Active Learning, Active Listening, Microsoft PowerPoint, Speaking"
657,Research Scientist,Natural Sciences Managers,9,8,1,Writing
659,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,5,5,"Active Learning, Active Listening, Microsoft Excel, Microsoft Outlook, Writing"
661,Research Director,Natural Sciences Managers,9,5,4,"Microsoft Office software, Monitoring, Reading Comprehension, Science"
662,Research Scientist,Natural Sciences Managers,9,5,4,"Microsoft Office software, Monitoring, Reading Comprehension, Writing"
663,Laboratory Technician,Chemical Technicians,9,5,4,"Active Listening, Critical Thinking, Microsoft Office software, Microsoft Outlook"
664,Manager,General and Operations Managers,9,7,2,"Microsoft Office software, Monitoring"
665,Human Resources,Human Resources Specialists,10,6,4,"Active Learning, Critical Thinking, Microsoft Excel, Microsoft Office software"
666,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Active Learning, Active Listening"
667,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Active Listening, Reading Comprehension, Salesforce software, Speaking"
669,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,5,4,"Active Listening, Critical Thinking, Salesforce software, Writing"
671,Manager,General and Operations Managers,9,6,3,"Active Listening, Monitoring, Speaking"
675,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Excel, Microsoft PowerPoint, Science"
677,Sales Executive,Sales Managers,10,5,5,"Active Learning, Active Listening, Critical Thinking, Monitoring, Speaking"
679,Research Scientist,Natural Sciences Managers,9,6,3,"Active Listening, Critical Thinking, Monitoring"
680,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Critical Thinking, Microsoft Excel, Writing"
682,Sales Executive,Sales Managers,10,7,3,"Active Learning, Microsoft Office software, Microsoft PowerPoint"
683,Research Scientist,Natural Sciences Managers,9,8,1,Microsoft Excel
684,Sales Executive,Sales Managers,10,7,3,"Microsoft Excel, Microsoft PowerPoint, Reading Comprehension"
686,Laboratory Technician,Chemical Technicians,9,6,3,"Active Listening, Microsoft Outlook, Writing"
689,Manufacturing Director,Industrial Production Managers,10,6,4,"Learning Strategies, Microsoft Excel, Microsoft Outlook, Reading Comprehension"
690,Sales Executive,Sales Managers,10,9,1,Active Learning
691,Research Scientist,Natural Sciences Managers,9,7,2,"Microsoft Office software, Writing"
692,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,5,5,"Active Learning, Microsoft Excel, Reading Comprehension, Salesforce software, Speaking"
698,Human Resources,Human Resources Specialists,10,8,2,"Microsoft Excel, Reading Comprehension"
699,Manufacturing Director,Industrial Production Managers,10,8,2,"Active Listening, Microsoft PowerPoint"
700,Research Scientist,Natural Sciences Managers,9,5,4,"Microsoft Excel, Monitoring, Science, Writing"
701,Research Scientist,Natural Sciences Managers,9,8,1,Writing
702,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Excel, Microsoft PowerPoint, Writing"
704,Laboratory Technician,Chemical Technicians,9,6,3,"Microsoft Outlook, Monitoring, Reading Comprehension"
705,Research Scientist,Natural Sciences Managers,9,6,3,"Active Listening, Microsoft Excel, Microsoft PowerPoint"
707,Sales Executive,Sales Managers,10,8,2,"Active Listening, Microsoft Outlook"
709,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Microsoft Outlook"
710,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension"
712,Sales Executive,Sales Managers,10,6,4,"Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Reading Comprehension"
714,Sales Executive,Sales Managers,10,7,3,"Critical Thinking, Microsoft Outlook, Microsoft PowerPoint"
715,Research Scientist,Natural Sciences Managers,9,5,4,"Active Listening, Microsoft Excel, Reading Comprehension, Writing"
716,Laboratory Technician,Chemical Technicians,9,8,1,Science
717,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,7,3,"Salesforce software, Speaking, Writing"
720,Sales Executive,Sales Managers,10,6,4,"Active Learning, Critical Thinking, Microsoft Office software, Microsoft PowerPoint"
721,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Microsoft Excel, Microsoft Outlook, Speaking, Writing"
722,Sales Executive,Sales Managers,10,7,3,"Microsoft Excel, Microsoft PowerPoint, Monitoring"
723,Sales Executive,Sales Managers,10,6,4,"Microsoft Excel, Microsoft Outlook, Microsoft PowerPoint, Monitoring"
724,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,5,5,"Active Learning, Active Listening, Microsoft Office software, Reading Comprehension, Speaking"
725,Manufacturing Director,Industrial Production Managers,10,7,3,"Learning Strategies, Microsoft Excel, Monitoring"
727,Research Director,Natural Sciences Managers,9,6,3,"Active Listening, Microsoft PowerPoint, Writing"
728,Sales Executive,Sales Managers,10,9,1,Microsoft Outlook
729,Sales Executive,Sales Managers,10,8,2,"Active Listening, Reading Comprehension"
730,Research Director,Natural Sciences Managers,9,5,4,"Critical Thinking, Microsoft Office software, Microsoft PowerPoint, Reading Comprehension"
731,Manager,General and Operations Managers,9,6,3,"Microsoft Office software, Microsoft PowerPoint, Speaking"
732,Sales Executive,Sales Managers,10,8,2,"Critical Thinking, Microsoft Office software"
733,Manufacturing Director,Industrial Production Managers,10,5,5,"Critical Thinking, Microsoft Excel, Microsoft Outlook, Reading Comprehension, Speaking"
734,Manager,General and Operations Managers,9,7,2,"Microsoft Excel, Microsoft PowerPoint"
738,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,7,2,"Active Learning, Speaking"
741,Research Scientist,Natural Sciences Managers,9,5,4,"Monitoring, Reading Comprehension, Science, Writing"
742,Research Director,Natural Sciences Managers,9,7,2,"Microsoft Excel, Science"
743,Manufacturing Director,Industrial Production Managers,10,6,4,"Microsoft Excel, Microsoft Office software, Microsoft Outlook, Reading Comprehension"
744,Laboratory Technician,Chemical Technicians,9,7,2,"Microsoft Outlook, Science"
746,Sales Executive,Sales Managers,10,7,3,"Active Listening, Reading Comprehension, Speaking"
747,Sales Executive,Sales Managers,10,8,2,"Microsoft Office software, Monitoring"
749,Sales Representative,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",9,8,1,Active Learning
752,Research Scientist,Natural Sciences Managers,9,7,2,"Critical Thinking, Microsoft Office software"
754,Sales Executive,Sales Managers,10,8,2,"Microsoft PowerPoint, Reading Comprehension"
757,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,8,2,"Active Learning, Microsoft Office software"
758,Laboratory Technician,Chemical Technicians,9,8,1,Reading Comprehension
760,Human Resources,Human Resources Specialists,10,9,1,Microsoft Excel
762,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,6,4,"Active Learning, Critical Thinking, Microsoft Office software, Speaking"
763,Research Scientist,Natural Sciences Managers,9,8,1,Microsoft Excel
764,Healthcare Representative,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",10,9,1,Microsoft Office software
